成份代码,成份名称,所属GICS行业代码1,所属GICS行业1,所属GICS行业代码,所属GICS行业,市盈率(PE),截止日期,收盘价,涨跌幅[%],指数权重,指数贡献[点],流通市值[亿],总市值[亿],流通股本[亿],总股本[亿]
06881.HK,中国银河,"4,020.0000",综合金融,40.0000,金融,17.8049,2015-06-30,10.1000,6.3158,0.0000,0.0000,372.7894,963.2631,36.9098,95.3726
06837.HK,海通证券,"4,020.0000",综合金融,40.0000,金融,18.0227,2015-06-30,20.5000,4.2726,0.0000,0.0000,698.9616,"2,357.8485",34.0957,115.0170
06030.HK,中信证券,"4,020.0000",综合金融,40.0000,金融,36.2819,2015-06-30,27.9500,4.2910,0.0000,0.0000,636.7926,"3,386.6759",22.7833,121.1691
03360.HK,远东宏信,"4,020.0000",综合金融,40.0000,金融,10.5754,2015-06-30,7.3800,4.0903,0.0000,0.0000,242.9791,242.9791,32.9240,32.9240
01788.HK,国泰君安国际,"4,020.0000",综合金融,40.0000,金融,20.9722,2015-06-30,5.0500,4.5549,0.0000,0.0000,349.9467,349.9467,69.2964,69.2964
01359.HK,中国信达,"4,020.0000",综合金融,40.0000,金融,5.1521,2015-06-30,4.3200,2.3697,0.0000,0.0000,503.7015,"1,566.2890",116.5976,362.5669
01051.HK,国际资源,"4,020.0000",综合金融,40.0000,金融,——,2015-06-30,0.2500,4.1667,0.0000,0.0000,66.2252,66.2252,264.9008,264.9008
01004.HK,中国智慧能源,"4,020.0000",综合金融,40.0000,金融,-6.3510,2015-06-30,1.3100,0.7692,0.0000,0.0000,91.5479,91.5479,69.8839,69.8839
00806.HK,惠理集团,"4,020.0000",综合金融,40.0000,金融,17.1354,2015-06-30,12.2400,-0.6494,0.0000,0.0000,226.0073,226.0073,18.4646,18.4646
00665.HK,海通国际,"4,020.0000",综合金融,40.0000,金融,24.0688,2015-06-30,7.0000,4.7904,0.0000,0.0000,356.9561,356.9561,50.9937,50.9937
00530.HK,高银金融,"4,020.0000",综合金融,40.0000,金融,9.6216,2015-06-30,9.9800,3.8502,0.0000,0.0000,696.8168,696.8168,69.8213,69.8213
00388.HK,香港交易所,"4,020.0000",综合金融,40.0000,金融,106.3958,2015-06-30,273.6000,-0.5091,0.0000,0.0000,"3,276.1854","3,276.1854",11.9744,11.9744
00142.HK,第一太平,"4,020.0000",综合金融,40.0000,金融,4.6672,2015-06-30,6.5400,-1.0590,0.0000,0.0000,279.1577,279.1577,42.6847,42.6847
00165.HK,中国光大控股,"4,020.0000",综合金融,40.0000,金融,15.2938,2015-06-30,26.9000,7.3852,0.0000,0.0000,453.3332,453.3332,16.8525,16.8525
00086.HK,新鸿基公司,"4,020.0000",综合金融,40.0000,金融,5.9591,2015-06-30,6.9600,-1.1364,0.0000,0.0000,156.6802,156.6802,22.5115,22.5115
03898.HK,中车时代电气,"2,010.0000",资本品,20.0000,工业,17.7655,2015-06-30,58.1000,5.9253,0.0000,0.0000,317.9984,682.9519,5.4733,11.7548
03823.HK,德普科技,"2,010.0000",资本品,20.0000,工业,-1.7420,2015-06-30,7.8400,0.5128,0.0000,0.0000,127.1425,127.1425,16.2172,16.2172
03808.HK,中国重汽,"2,010.0000",资本品,20.0000,工业,179.1736,2015-06-30,4.6800,0.8621,0.0000,0.0000,129.2145,129.2145,27.6099,27.6099
03339.HK,中国龙工,"2,010.0000",资本品,20.0000,工业,18.2962,2015-06-30,1.5500,2.6490,0.0000,0.0000,66.3416,66.3416,42.8010,42.8010
03393.HK,威胜控股,"2,010.0000",资本品,20.0000,工业,4.5091,2015-06-30,11.9600,2.2222,0.0000,0.0000,122.8150,122.8150,10.2688,10.2688
03311.HK,中国建筑国际,"2,010.0000",资本品,20.0000,工业,11.8208,2015-06-30,13.9600,1.8978,0.0000,0.0000,560.1335,560.1335,40.1242,40.1242
02789.HK,远大中国,"2,010.0000",资本品,20.0000,工业,2.7596,2015-06-30,0.6000,1.6949,0.0000,0.0000,37.2524,37.2524,62.0873,62.0873
02727.HK,上海电气,"2,010.0000",资本品,20.0000,工业,11.7976,2015-06-30,6.3300,2.0968,0.0000,0.0000,188.1853,811.7356,29.7291,128.2363
02382.HK,舜宇光学科技,"2,010.0000",资本品,20.0000,工业,227.2925,2015-06-30,16.9000,3.8084,0.0000,0.0000,185.3930,185.3930,10.9700,10.9700
