,time_x,newet_stock,newet_index
0,20100129,1.0487146970939352,1.0021372164474898
1,20100226,1.0865477721628334,0.9163015244743832
2,20100331,1.1235146016078905,0.9559748081685496
3,20100430,1.1054312181390553,0.9806298141235992
4,20100531,1.097465460533264,0.9535318166523178
5,20100630,1.1431470760752183,0.8985555680860682
6,20100730,1.1232442869117685,0.9195972020893561
7,20100831,1.2117710197229663,0.9728612019573273
8,20100930,1.2258567566666796,0.9430213144018683
9,20101029,1.2123441451384813,1.0334170432696936
10,20101130,1.2337115242690246,1.0712130422464703
11,20101231,1.241667225696114,1.0531956932933946
12,20110131,1.1477985779483515,1.0606149792192145
13,20110228,1.1661067204705584,1.0751005573633112
14,20110331,1.1878295475811909,1.0689731367204227
15,20110429,1.1326553016383902,1.0848587704266457
16,20110531,1.1248938432756015,1.0908358249187886
17,20110630,1.0809350103988722,1.0858806184449756
18,20110729,0.9274509126725053,1.0458355452744228
19,20110831,0.6655527498366824,1.042456891216508
20,20110930,0.9709875144375,0.9530930959015139
21,20111031,0.8994978903113031,0.7875518831985082
22,20111130,0.898003681180157,0.8921608807788968
23,20111230,0.9511673502025457,0.8725802739781291
24,20120131,1.1591377001139347,0.8605088060469198
25,20120229,1.1093577927516178,0.934959763301674
26,20120330,1.0860363019259147,0.9892162714512442
27,20120430,0.9427462667516412,0.9472595310593205
28,20120531,0.8508292546924049,0.9739637342516672
29,20120629,0.844963408311464,0.8480517956377314
30,20120731,0.9363779789210069,0.9061123840278141
31,20120831,1.01837276233528,0.9006822405656701
32,20120928,1.1276982683910426,0.8900309992655897
33,20121031,1.1836324573231318,0.9604812083570574
34,20121130,1.2565844941638504,0.9890209788286295
35,20121231,1.2780138137860018,1.0117826548977649
36,20130131,1.2418520674978808,1.0479901821905966
37,20130228,1.2051749745742186,1.089390842884793
38,20130328,1.1629459576394319,1.0524296511046871
39,20130430,1.2058943584930184,1.0179022821730843
40,20130531,1.1090077681814206,1.0402921687658333
41,20130628,1.1752930162784894,1.022383468525339
42,20130731,1.2195144345965936,0.9629191571060385
43,20130830,1.2146609461851554,1.0097339160938543
44,20130930,1.240978720744253,1.0062026037182616
45,20131031,1.2994607984438244,1.0542688858510036
46,20131129,1.310801043211346,1.0639688778742629
47,20131231,1.2877092536829458,1.0973130302355156
48,20140130,1.2823749586315676,1.075152818769363
49,20140228,1.2413869155396642,0.9884603147970379
50,20140331,1.2089593332179858,1.0374700528390322
51,20140430,1.2106955453482782,1.02195437487565
52,20140530,1.2479836615280622,1.0174773144238731
53,20140630,1.2331382557916384,1.0694109406044536
54,20140731,1.2257703061181762,1.0693660141325845
55,20140829,1.1878985158192727,1.1274816145290376
56,20140930,1.1816054199775936,1.1325019185437224
57,20141031,1.2118862682752838,1.0402582446952382
58,20141128,1.1987769305835656,1.1063579209495806
59,20141231,1.1917343305214532,1.0854785723650855
60,20150130,1.191297007551872,1.0857366703616398
61,20150227,1.203698470346673,1.1161601436180113
62,20150331,1.2776439858428612,1.1459349336325986
63,20150430,1.2996767301791228,1.1440296844786375
64,20150529,1.173512698605902,1.2942152124701216
65,20150630,1.0888045137561913,1.2548724592475642
66,20150731,1.0002258175635699,1.2129886097640812
67,20150831,0.9568975193757617,1.1246810449713984
68,20150930,1.0499415829392196,0.9944694596262301
69,20151030,1.0244855565691486,0.970638258466577
70,20151130,1.0105127764294803,1.0315796422569226
71,20151231,0.8018209475796592,1.0176217209405953
72,20160129,0.7990771760022874,0.9985880251698267
73,20160229,0.864775959250358,0.9063668145572772
74,20160331,0.9229690676927046,0.8829422438113786
75,20160429,0.9084269021570865,0.9529078888134003
76,20160531,0.9036837117483492,0.9655418545097468
77,20160630,0.957008784725088,0.9501733336634054
78,20160729,1.0026498848136725,0.961218827675807
79,20160831,1.0131297979800138,1.009821018437274
80,20160930,0.99249507168787,1.0496822598198725
81,20161031,0.9942707365740571,1.0843246955314665
82,20161130,0.9297787331226888,1.0550871894457634
83,20161230,0.9776270010814572,1.0520427333265487
84,20170127,0.9747368361979876,1.0082490503552402
85,20170228,0.9952294605246262,1.06411007535728
86,20170331,1.0269866089789006,1.0933278688073673
87,20170428,1.0005643686107217,1.1110848275969565
88,20170531,1.0066185664049894,1.13571370284898
89,20170630,1.0588052838239586,1.1798402084588295
90,20170731,1.0867611641117887,1.1761003088924158
91,20170831,1.122441815056508,1.252716905464618
92,20170929,1.184142352231482,1.2843112175899059
93,20171031,1.174006505962081,1.2783052817944183
94,20171130,1.1770957360532939,1.3013800678664786
95,20171229,1.250866312312944,1.3414361434383055
96,20180131,1.238742668437681,1.3765970673099406
97,20180228,1.3088902281011396,1.5105517612552275
98,20180329,1.3865216587326188,1.3971669733586023
99,20180430,1.4872492986780692,1.3719939376768981
100,20180531,1.383252181947294,1.411159277178911
101,20180629,1.389431417058376,1.4004580666397108
102,20180731,1.2912892038545736,1.3118988219178838
103,20180831,1.299673368725152,1.3183040531929429
104,20180928,1.136973091806544,1.2748780337975432
105,20181031,1.1712051277215465,1.2706013087356316
106,20181130,1.067497899981382,1.1565701297641544
107,20181231,1.119012223295385,1.2462814175860548
108,20190131,1.1718422478300623,1.1838785481598026
109,20190228,1.1871542569229272,1.2924740824684988
110,20190329,1.2447872668933069,1.316464818446626
111,20190430,1.1701675773504037,1.3470478265214718
112,20190531,1.1929800217598123,1.3589363795314995
113,20190628,1.198708149817036,1.2336309482877972
114,20190731,1.1658992880852772,1.3250576938416812
115,20190830,1.1765069919599558,1.2644605935245368
116,20190930,1.2772205062113116,1.1748652893494007
