成份代码,成份名称,所属GICS行业代码1,所属GICS行业1,所属GICS行业代码,所属GICS行业,市盈率(PE),截止日期,收盘价,涨跌幅[%],指数权重,指数贡献[点],流通市值[亿],总市值[亿],流通股本[亿],总股本[亿]
06881.HK,中国银河,"4,020.0000",综合金融,40.0000,金融,17.8049,2014-12-31,9.7300,1.8848,0.0000,0.0000,164.5328,733.3753,16.9098,75.3726
06837.HK,海通证券,"4,020.0000",综合金融,40.0000,金融,18.0227,2014-12-31,19.5200,1.4553,0.0000,0.0000,291.3536,"1,870.9376",14.9259,95.8472
06030.HK,中信证券,"4,020.0000",综合金融,40.0000,金融,36.2819,2014-12-31,29.2000,1.0381,0.0000,0.0000,344.0717,"3,216.9373",11.7833,110.1691
03360.HK,远东宏信,"4,020.0000",综合金融,40.0000,金融,10.5754,2014-12-31,7.6500,1.4589,0.0000,0.0000,251.8686,251.8686,32.9240,32.9240
01788.HK,国泰君安国际,"4,020.0000",综合金融,40.0000,金融,20.9722,2014-12-31,5.9000,2.0761,0.0000,0.0000,134.1587,134.1587,22.7388,22.7388
01359.HK,中国信达,"4,020.0000",综合金融,40.0000,金融,5.1521,2014-12-31,3.7800,-0.2639,0.0000,0.0000,440.7388,"1,370.5029",116.5976,362.5669
01051.HK,国际资源,"4,020.0000",综合金融,40.0000,金融,——,2014-12-31,0.1840,0.0000,0.0000,0.0000,48.7417,48.7417,264.9008,264.9008
00806.HK,惠理集团,"4,020.0000",综合金融,40.0000,金融,17.1354,2014-12-31,6.5200,-0.1531,0.0000,0.0000,119.7505,119.7505,18.3666,18.3666
00665.HK,海通国际,"4,020.0000",综合金融,40.0000,金融,24.0688,2014-12-31,4.9400,1.8557,0.0000,0.0000,107.9092,107.9092,21.8440,21.8440
00530.HK,高银金融,"4,020.0000",综合金融,40.0000,金融,9.6216,2014-12-31,7.5000,-3.5990,0.0000,0.0000,523.6074,523.6074,69.8143,69.8143
00388.HK,香港交易所,"4,020.0000",综合金融,40.0000,金融,106.3958,2014-12-31,171.7000,0.2335,0.0000,0.0000,"2,005.7404","2,005.7404",11.6817,11.6817
00165.HK,中国光大控股,"4,020.0000",综合金融,40.0000,金融,15.2938,2014-12-31,18.5200,1.7582,0.0000,0.0000,312.1090,312.1090,16.8525,16.8525
00142.HK,第一太平,"4,020.0000",综合金融,40.0000,金融,4.6672,2014-12-31,7.6900,0.3916,0.0000,0.0000,329.8493,329.8493,42.8933,42.8933
00086.HK,新鸿基公司,"4,020.0000",综合金融,40.0000,金融,5.9591,2014-12-31,5.9200,0.6803,0.0000,0.0000,133.4110,133.4110,22.5356,22.5356
03898.HK,中车时代电气,"2,010.0000",资本品,20.0000,工业,17.7655,2014-12-31,45.2500,35.6822,0.0000,0.0000,247.6666,531.9032,5.4733,11.7548
