成份代码,成份名称,所属GICS行业代码1,所属GICS行业1,所属GICS行业代码,所属GICS行业,市盈率(PE),截止日期,收盘价,涨跌幅[%],指数权重,指数贡献[点],流通市值[亿],总市值[亿],流通股本[亿],总股本[亿]
06886.HK,HTSC,"4,020.0000",综合金融,40.0000,金融,43.7876,2020-06-30,12.3400,-1.5949,0.0000,0.0000,212.1302,"1,120.0586",17.1905,90.7665
06881.HK,中国银河,"4,020.0000",综合金融,40.0000,金融,17.8049,2020-06-30,4.1900,0.9639,0.0000,0.0000,154.6523,424.7511,36.9098,101.3726
06837.HK,海通证券,"4,020.0000",综合金融,40.0000,金融,18.0227,2020-06-30,6.2600,2.9605,0.0000,0.0000,213.4390,720.0064,34.0957,115.0170
06806.HK,申万宏源,"4,020.0000",综合金融,40.0000,金融,——,2020-06-30,2.1400,3.3816,0.0000,0.0000,53.5856,535.8548,25.0400,250.3994
06069.HK,盛业资本,"4,020.0000",综合金融,40.0000,金融,——,2020-06-30,6.3400,0.1580,0.0000,0.0000,55.8562,55.8562,8.8101,8.8101
06066.HK,中信建投证券,"4,020.0000",综合金融,40.0000,金融,38.8909,2020-06-30,8.7700,1.3873,0.0000,0.0000,110.5918,670.5880,12.6102,76.4639
06030.HK,中信证券,"4,020.0000",综合金融,40.0000,金融,36.2819,2020-06-30,14.6600,1.5235,0.0000,0.0000,334.0028,"1,895.0654",22.7833,129.2678
03958.HK,东方证券,"4,020.0000",综合金融,40.0000,金融,26.6902,2020-06-30,4.2800,4.1363,0.0000,0.0000,43.9590,299.3285,10.2708,69.9366
03908.HK,中金公司,"4,020.0000",综合金融,40.0000,金融,167.9756,2020-06-30,15.2200,-0.2621,0.0000,0.0000,289.7453,664.9112,19.0371,43.6867
03877.HK,中国船舶租赁,"4,020.0000",综合金融,40.0000,金融,——,2020-06-30,0.9800,0.0000,0.0000,0.0000,60.1334,60.1334,61.3607,61.3607
03360.HK,远东宏信,"4,020.0000",综合金融,40.0000,金融,10.5754,2020-06-30,6.5800,2.1739,0.0000,0.0000,260.8053,260.8053,39.6361,39.6361
02858.HK,易鑫集团,"4,020.0000",综合金融,40.0000,金融,——,2020-06-30,1.9000,0.0000,0.0000,0.0000,121.1243,121.1243,63.7496,63.7496
02799.HK,中国华融,"4,020.0000",综合金融,40.0000,金融,3.2990,2020-06-30,0.7800,1.2987,0.0000,0.0000,195.3421,304.7476,250.4385,390.7021
02666.HK,环球医疗,"4,020.0000",综合金融,40.0000,金融,22.6528,2020-06-30,4.6800,1.0799,0.0000,0.0000,80.3231,80.3231,17.1630,17.1630
02611.HK,国泰君安,"4,020.0000",综合金融,40.0000,金融,——,2020-06-30,10.7200,1.5152,0.0000,0.0000,149.2039,954.9321,13.9183,89.0795
02051.HK,51信用卡,"4,020.0000",综合金融,40.0000,金融,——,2020-06-30,0.5000,3.0928,0.0000,0.0000,5.9583,5.9583,11.9165,11.9165
02003.HK,维信金科,"4,020.0000",综合金融,40.0000,金融,——,2020-06-30,4.0300,-3.5885,0.0000,0.0000,20.0893,20.0893,4.9849,4.9849
01911.HK,华兴资本控股,"4,020.0000",综合金融,40.0000,金融,——,2020-06-30,11.7200,-1.5126,0.0000,0.0000,62.6861,62.6861,5.3486,5.3486
01905.HK,海通恒信,"4,020.0000",综合金融,40.0000,金融,——,2020-06-30,1.5000,-0.6623,0.0000,0.0000,86.9168,123.5295,57.9445,82.3530
01806.HK,汇付天下,"4,020.0000",综合金融,40.0000,金融,——,2020-06-30,2.2900,-1.2931,0.0000,0.0000,29.6940,29.6940,12.9668,12.9668
01788.HK,国泰君安国际,"4,020.0000",综合金融,40.0000,金融,20.9722,2020-06-30,1.0100,1.0000,0.0000,0.0000,97.1104,97.1104,96.1489,96.1489
01776.HK,广发证券,"4,020.0000",综合金融,40.0000,金融,19.5789,2020-06-30,8.3000,0.4843,0.0000,0.0000,141.2491,632.5503,17.0180,76.2109
01359.HK,中国信达,"4,020.0000",综合金融,40.0000,金融,5.1521,2020-06-30,1.5200,-0.6536,0.0000,0.0000,206.2276,580.1009,135.6760,381.6454
00806.HK,惠理集团,"4,020.0000",综合金融,40.0000,金融,17.1354,2020-06-30,3.9300,-1.2563,0.0000,0.0000,72.9048,72.9048,18.5508,18.5508
00665.HK,海通国际,"4,020.0000",综合金融,40.0000,金融,24.0688,2020-06-30,1.8500,2.7778,0.0000,0.0000,111.6666,111.6666,60.3604,60.3604
00388.HK,香港交易所,"4,020.0000",综合金融,40.0000,金融,106.3958,2020-06-30,330.0000,3.1250,0.0000,0.0000,"4,183.8618","4,183.8618",12.6784,12.6784
00165.HK,中国光大控股,"4,020.0000",综合金融,40.0000,金融,15.2938,2020-06-30,11.2200,0.7181,0.0000,0.0000,189.0855,189.0855,16.8525,16.8525
00142.HK,第一太平,"4,020.0000",综合金融,40.0000,金融,4.6672,2020-06-30,1.4800,2.7778,0.0000,0.0000,64.3050,64.3050,43.4493,43.4493
00087.HK,太古股份公司B,"4,020.0000",综合金融,40.0000,金融,1.5682,2020-06-30,7.3900,0.4076,0.0000,0.0000,220.3602,220.3602,29.8187,29.8187
00086.HK,新鸿基公司,"4,020.0000",综合金融,40.0000,金融,5.9591,2020-06-30,3.0400,0.6623,0.0000,0.0000,60.5414,60.5414,19.9149,19.9149
03898.HK,中车时代电气,"2,010.0000",资本品,20.0000,工业,17.7655,2020-06-30,19.7000,1.5464,0.0000,0.0000,107.8239,231.5689,5.4733,11.7548
03808.HK,中国重汽,"2,010.0000",资本品,20.0000,工业,179.1736,2020-06-30,20.0500,0.6526,0.0000,0.0000,553.5792,553.5792,27.6099,27.6099
03339.HK,中国龙工,"2,010.0000",资本品,20.0000,工业,18.2962,2020-06-30,2.3500,3.5242,0.0000,0.0000,100.5824,100.5824,42.8010,42.8010
03311.HK,中国建筑国际,"2,010.0000",资本品,20.0000,工业,11.8208,2020-06-30,4.5200,-1.5251,0.0000,0.0000,228.2219,228.2219,50.4916,50.4916
02727.HK,上海电气,"2,010.0000",资本品,20.0000,工业,11.7976,2020-06-30,2.2000,0.4566,0.0000,0.0000,65.4041,333.3544,29.7291,151.5247
02382.HK,舜宇光学科技,"2,010.0000",资本品,20.0000,工业,227.2925,2020-06-30,124.0000,0.4862,0.0000,0.0000,"1,360.0936","1,360.0936",10.9685,10.9685
