成份代码,成份名称,所属GICS行业代码1,所属GICS行业1,所属GICS行业代码,所属GICS行业,市盈率(PE),截止日期,收盘价,涨跌幅[%],指数权重,指数贡献[点],流通市值[亿],总市值[亿],流通股本[亿],总股本[亿]
00388.HK,香港交易所,"4,020.0000",综合金融,40.0000,金融,106.3958,2009-12-31,139.4000,0.7954,0.0000,0.0000,"1,500.2093","1,500.2093",10.7619,10.7619
00165.HK,中国光大控股,"4,020.0000",综合金融,40.0000,金融,15.2938,2009-12-31,19.2000,1.8028,0.0000,0.0000,305.7147,305.7147,15.9226,15.9226
00142.HK,第一太平,"4,020.0000",综合金融,40.0000,金融,4.6672,2009-12-31,4.7400,0.4237,0.0000,0.0000,182.9794,182.9794,38.6032,38.6032
00087.HK,太古股份公司B,"4,020.0000",综合金融,40.0000,金融,1.5682,2009-12-31,17.0000,0.0000,0.0000,0.0000,509.1874,509.1874,29.9522,29.9522
00086.HK,新鸿基公司,"4,020.0000",综合金融,40.0000,金融,5.9591,2009-12-31,5.9000,-1.6667,0.0000,0.0000,103.3767,103.3767,17.5215,17.5215
01186.HK,中国铁建,"2,010.0000",资本品,20.0000,工业,6.5847,2009-12-31,9.9500,1.3238,0.0000,0.0000,206.5915,"1,227.5854",20.7630,123.3754
03808.HK,中国重汽,"2,010.0000",资本品,20.0000,工业,179.1736,2009-12-31,9.0700,0.7778,0.0000,0.0000,250.4221,250.4221,27.6099,27.6099
03339.HK,中国龙工,"2,010.0000",资本品,20.0000,工业,18.2962,2009-12-31,5.3900,5.6863,0.0000,0.0000,115.3487,115.3487,21.4005,21.4005
02727.HK,上海电气,"2,010.0000",资本品,20.0000,工业,11.7976,2009-12-31,3.5900,0.0000,0.0000,0.0000,106.7275,449.0259,29.7291,125.0769
01800.HK,中国交通建设,"2,010.0000",资本品,20.0000,工业,4.7153,2009-12-31,7.4300,2.2008,0.0000,0.0000,328.9633,"1,101.4975",44.2750,148.2500
01205.HK,中信资源,"2,010.0000",资本品,20.0000,工业,-1.6354,2009-12-31,2.2700,3.1818,0.0000,0.0000,137.3479,137.3479,60.5057,60.5057
00868.HK,信义玻璃,"2,010.0000",资本品,20.0000,工业,15.5936,2009-12-31,7.0300,-0.5658,0.0000,0.0000,124.6454,124.6454,17.7305,17.7305
00659.HK,新创建集团,"2,010.0000",资本品,20.0000,工业,6.1766,2009-12-31,14.3000,0.1401,0.0000,0.0000,296.1970,296.1970,20.7131,20.7131
00658.HK,中国高速传动,"2,010.0000",资本品,20.0000,工业,112.4973,2009-12-31,18.9600,1.7167,0.0000,0.0000,236.0642,236.0642,12.4506,12.4506
00589.HK,建中建设,"2,010.0000",资本品,20.0000,工业,——,2009-12-31,——,——,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
00390.HK,中国中铁,"2,010.0000",资本品,20.0000,工业,8.5937,2009-12-31,6.0400,1.0033,0.0000,0.0000,254.1264,"1,286.5140",42.0739,212.9990
00363.HK,上海实业控股,"2,010.0000",资本品,20.0000,工业,4.8277,2009-12-31,39.6500,1.4067,0.0000,0.0000,428.1268,428.1268,10.7977,10.7977
00179.HK,德昌电机控股,"2,010.0000",资本品,20.0000,工业,8.4526,2009-12-31,3.1000,0.0000,0.0000,0.0000,113.8875,113.8875,36.7379,36.7379
00148.HK,建滔集团,"2,010.0000",资本品,20.0000,工业,8.5723,2009-12-31,30.8000,3.5294,0.0000,0.0000,260.1796,260.1796,8.4474,8.4474
00013.HK,和记黄埔,"2,010.0000",资本品,20.0000,工业,——,2009-12-31,53.4000,1.9084,0.0000,0.0000,"2,276.6400","2,276.6400",42.6337,42.6337
02866.HK,中远海发,"2,030.0000",运输,20.0000,工业,-2.8323,2009-12-31,2.8000,3.7037,0.0000,0.0000,105.0280,327.1275,37.5100,116.8313
02343.HK,太平洋航运,"2,030.0000",运输,20.0000,工业,458.1970,2009-12-31,5.6300,1.9928,0.0000,0.0000,108.5940,108.5940,19.2885,19.2885
01919.HK,中远海控,"2,030.0000",运输,20.0000,工业,158.4159,2009-12-31,9.5500,2.0299,0.0000,0.0000,246.4473,975.6542,25.8060,102.1627
01199.HK,中远海运港口,"2,030.0000",运输,20.0000,工业,2.6214,2009-12-31,9.9300,1.8462,0.0000,0.0000,224.6688,224.6688,22.6253,22.6253
01138.HK,中远海能,"2,030.0000",运输,20.0000,工业,-6.2351,2009-12-31,11.6600,1.2153,0.0000,0.0000,151.1136,396.9708,12.9600,34.0455
01052.HK,越秀交通基建,"2,030.0000",运输,20.0000,工业,10.9620,2009-12-31,3.0900,1.3115,0.0000,0.0000,51.7007,51.7007,16.7316,16.7316
00753.HK,中国国航,"2,030.0000",运输,20.0000,工业,18.8952,2009-12-31,6.0700,1.1667,0.0000,0.0000,267.4250,743.6577,44.0568,122.5136
00737.HK,湾区发展,"2,030.0000",运输,20.0000,工业,11.4600,2009-12-31,4.7300,0.4246,0.0000,0.0000,140.0880,140.0880,29.6169,29.6169
00694.HK,北京首都机场股份,"2,030.0000",运输,20.0000,工业,14.6826,2009-12-31,5.1400,2.3904,0.0000,0.0000,96.5993,222.6077,18.7936,43.3089
00576.HK,浙江沪杭甬,"2,030.0000",运输,20.0000,工业,9.8817,2009-12-31,7.1900,1.6973,0.0000,0.0000,103.0941,312.2699,14.3385,43.4311
00316.HK,东方海外国际,"2,030.0000",运输,20.0000,工业,58.0764,2009-12-31,36.3000,1.9663,0.0000,0.0000,227.1630,227.1630,6.2579,6.2579
00293.HK,国泰航空,"2,030.0000",运输,20.0000,工业,15.2331,2009-12-31,14.4800,-0.8219,0.0000,0.0000,569.6207,569.6207,39.3384,39.3384
00177.HK,江苏宁沪高速公路,"2,030.0000",运输,20.0000,工业,11.9509,2009-12-31,6.9200,2.9762,0.0000,0.0000,84.5624,348.6121,12.2200,50.3775
00152.HK,深圳国际,"2,030.0000",运输,20.0000,工业,17.3288,2009-12-31,0.5900,-1.6667,0.0000,0.0000,83.4374,83.4374,141.4193,141.4193
00144.HK,招商局港口,"2,030.0000",运输,20.0000,工业,7.7325,2009-12-31,25.2500,1.4056,0.0000,0.0000,614.2691,614.2691,24.3275,24.3275
00066.HK,港铁公司,"2,030.0000",运输,20.0000,工业,19.2578,2009-12-31,26.8000,0.1869,0.0000,0.0000,"1,535.0594","1,535.0594",57.2783,57.2783
00062.HK,载通,"2,030.0000",运输,20.0000,工业,18.2971,2009-12-31,22.0000,0.0000,0.0000,0.0000,88.8007,88.8007,4.0364,4.0364
00044.HK,香港飞机工程,"2,030.0000",运输,20.0000,工业,——,2009-12-31,100.8000,1.1033,0.0000,0.0000,167.6554,167.6554,1.6632,1.6632
03993.HK,洛阳钼业,"1,510.0000",原材料,15.0000,原材料,45.1231,2009-12-31,6.2400,1.7944,0.0000,0.0000,81.8161,304.2730,13.1116,48.7617
03323.HK,中国建材,"1,510.0000",原材料,15.0000,原材料,13.2591,2009-12-31,16.0600,1.3889,0.0000,0.0000,192.8225,398.4832,12.0064,24.8122
02899.HK,紫金矿业,"1,510.0000",原材料,15.0000,原材料,48.7226,2009-12-31,7.4200,0.8152,0.0000,0.0000,297.2036,"1,078.9651",40.0544,145.4131
02689.HK,玖龙纸业,"1,510.0000",原材料,15.0000,原材料,18.5462,2009-12-31,12.5000,1.7915,0.0000,0.0000,576.5248,576.5248,46.1220,46.1220
02600.HK,中国铝业,"1,510.0000",原材料,15.0000,原材料,26.4863,2009-12-31,8.5500,0.4700,0.0000,0.0000,337.2091,"1,156.3437",39.4397,135.2449
02314.HK,理文造纸,"1,510.0000",原材料,15.0000,原材料,10.6870,2009-12-31,5.3500,0.9434,0.0000,0.0000,243.3994,243.3994,45.4952,45.4952
