成份代码,成份名称,所属GICS行业代码1,所属GICS行业1,所属GICS行业代码,所属GICS行业,市盈率(PE),截止日期,收盘价,涨跌幅[%],指数权重,指数贡献[点],流通市值[亿],总市值[亿],流通股本[亿],总股本[亿]
00086.HK,新鸿基公司,"4,020.0000",综合金融,40.0000,金融,5.9591,2014-06-30,6.1700,0.1623,0.0000,0.0000,130.4315,130.4315,21.1396,21.1396
06881.HK,中国银河,"4,020.0000",综合金融,40.0000,金融,17.8049,2014-06-30,5.0100,1.2121,0.0000,0.0000,84.7183,377.6167,16.9098,75.3726
06837.HK,海通证券,"4,020.0000",综合金融,40.0000,金融,18.0227,2014-06-30,12.0200,1.5203,0.0000,0.0000,179.4093,"1,152.0835",14.9259,95.8472
06030.HK,中信证券,"4,020.0000",综合金融,40.0000,金融,36.2819,2014-06-30,17.1000,0.5882,0.0000,0.0000,201.4940,"1,883.8913",11.7833,110.1691
03360.HK,远东宏信,"4,020.0000",综合金融,40.0000,金融,10.5754,2014-06-30,5.6600,0.1770,0.0000,0.0000,186.3498,186.3498,32.9240,32.9240
01788.HK,国泰君安国际,"4,020.0000",综合金融,40.0000,金融,20.9722,2014-06-30,4.4000,1.1494,0.0000,0.0000,83.2172,83.2172,18.9130,18.9130
01359.HK,中国信达,"4,020.0000",综合金融,40.0000,金融,5.1521,2014-06-30,3.8500,1.3158,0.0000,0.0000,448.9007,"1,395.8826",116.5976,362.5669
01051.HK,国际资源,"4,020.0000",综合金融,40.0000,金融,——,2014-06-30,0.1940,-2.0202,0.0000,0.0000,51.3907,51.3907,264.9008,264.9008
00806.HK,惠理集团,"4,020.0000",综合金融,40.0000,金融,17.1354,2014-06-30,5.1900,0.9728,0.0000,0.0000,91.0950,91.0950,17.5520,17.5520
00388.HK,香港交易所,"4,020.0000",综合金融,40.0000,金融,106.3958,2014-06-30,144.5000,0.4170,0.0000,0.0000,"1,686.4769","1,686.4769",11.6711,11.6711
00165.HK,中国光大控股,"4,020.0000",综合金融,40.0000,金融,15.2938,2014-06-30,10.4200,0.0000,0.0000,0.0000,175.6034,175.6034,16.8525,16.8525
00142.HK,第一太平,"4,020.0000",综合金融,40.0000,金融,4.6672,2014-06-30,8.6600,-0.4598,0.0000,0.0000,372.2639,372.2639,42.9866,42.9866
01800.HK,中国交通建设,"2,010.0000",资本品,20.0000,工业,4.7153,2014-06-30,5.2000,1.1673,0.0000,0.0000,230.2300,841.0862,44.2750,161.7474
03898.HK,中车时代电气,"2,010.0000",资本品,20.0000,工业,17.7655,2014-06-30,23.5500,-1.8750,0.0000,0.0000,128.8961,276.8247,5.4733,11.7548
03808.HK,中国重汽,"2,010.0000",资本品,20.0000,工业,179.1736,2014-06-30,3.8600,0.5208,0.0000,0.0000,106.5743,106.5743,27.6099,27.6099
03339.HK,中国龙工,"2,010.0000",资本品,20.0000,工业,18.2962,2014-06-30,1.3300,4.7244,0.0000,0.0000,56.9253,56.9253,42.8010,42.8010
03311.HK,中国建筑国际,"2,010.0000",资本品,20.0000,工业,11.8208,2014-06-30,13.6000,0.1473,0.0000,0.0000,529.3663,529.3663,38.9240,38.9240
02789.HK,远大中国,"2,010.0000",资本品,20.0000,工业,2.7596,2014-06-30,0.6800,0.0000,0.0000,0.0000,42.2194,42.2194,62.0873,62.0873
02727.HK,上海电气,"2,010.0000",资本品,20.0000,工业,11.7976,2014-06-30,3.1200,0.6452,0.0000,0.0000,92.7549,400.0972,29.7291,128.2363
02382.HK,舜宇光学科技,"2,010.0000",资本品,20.0000,工业,227.2925,2014-06-30,10.9600,4.3810,0.0000,0.0000,120.2312,120.2312,10.9700,10.9700
02357.HK,中航科工,"2,010.0000",资本品,20.0000,工业,32.5609,2014-06-30,4.3800,3.0588,0.0000,0.0000,103.2118,239.7800,23.5643,54.7443
02128.HK,中国联塑,"2,010.0000",资本品,20.0000,工业,23.9670,2014-06-30,4.1500,-1.1905,0.0000,0.0000,129.0756,129.0756,31.1026,31.1026
