成份代码,成份名称,所属GICS行业代码1,所属GICS行业1,所属GICS行业代码,所属GICS行业,市盈率(PE),截止日期,收盘价,涨跌幅[%],指数权重,指数贡献[点],流通市值[亿],总市值[亿],流通股本[亿],总股本[亿]
06886.HK,HTSC,"4,020.0000",综合金融,40.0000,金融,43.7876,2019-12-31,13.7800,0.2911,0.0000,0.0000,236.8845,"1,250.7624",17.1905,90.7665
06881.HK,中国银河,"4,020.0000",综合金融,40.0000,金融,17.8049,2019-12-31,4.5900,0.0000,0.0000,0.0000,169.4162,465.3002,36.9098,101.3726
06837.HK,海通证券,"4,020.0000",综合金融,40.0000,金融,18.0227,2019-12-31,9.2100,-0.9677,0.0000,0.0000,314.0213,"1,059.3066",34.0957,115.0170
06806.HK,申万宏源,"4,020.0000",综合金融,40.0000,金融,——,2019-12-31,2.3500,0.4274,0.0000,0.0000,58.8440,588.4387,25.0400,250.3994
06066.HK,中信建投证券,"4,020.0000",综合金融,40.0000,金融,38.8909,2019-12-31,6.7200,-0.8850,0.0000,0.0000,84.7408,513.8371,12.6102,76.4639
06030.HK,中信证券,"4,020.0000",综合金融,40.0000,金融,36.2819,2019-12-31,17.7800,-1.5504,0.0000,0.0000,405.0867,"2,154.3863",22.7833,121.1691
03958.HK,东方证券,"4,020.0000",综合金融,40.0000,金融,26.6902,2019-12-31,4.8900,0.0000,0.0000,0.0000,50.2242,341.9898,10.2708,69.9366
03908.HK,中金公司,"4,020.0000",综合金融,40.0000,金融,167.9756,2019-12-31,15.0200,0.1333,0.0000,0.0000,285.9379,656.1739,19.0371,43.6867
03877.HK,中国船舶租赁,"4,020.0000",综合金融,40.0000,金融,——,2019-12-31,1.3100,3.1496,0.0000,0.0000,80.3825,80.3825,61.3607,61.3607
03360.HK,远东宏信,"4,020.0000",综合金融,40.0000,金融,10.5754,2019-12-31,7.3000,0.2747,0.0000,0.0000,289.1398,289.1398,39.6082,39.6082
03329.HK,交银国际,"4,020.0000",综合金融,40.0000,金融,——,2019-12-31,1.1100,-1.7699,0.0000,0.0000,30.3518,30.3518,27.3439,27.3439
02858.HK,易鑫集团,"4,020.0000",综合金融,40.0000,金融,——,2019-12-31,1.7300,1.1696,0.0000,0.0000,110.2648,110.2648,63.7369,63.7369
02799.HK,中国华融,"4,020.0000",综合金融,40.0000,金融,3.2990,2019-12-31,1.2300,-0.8065,0.0000,0.0000,308.0394,480.5636,250.4385,390.7021
02666.HK,环球医疗,"4,020.0000",综合金融,40.0000,金融,22.6528,2019-12-31,5.9000,0.6826,0.0000,0.0000,101.2620,101.2620,17.1630,17.1630
02611.HK,国泰君安,"4,020.0000",综合金融,40.0000,金融,——,2019-12-31,13.8000,0.7299,0.0000,0.0000,192.0722,"1,229.2968",13.9183,89.0795
02051.HK,51信用卡,"4,020.0000",综合金融,40.0000,金融,——,2019-12-31,1.4600,-1.3514,0.0000,0.0000,17.3981,17.3981,11.9165,11.9165
02003.HK,维信金科,"4,020.0000",综合金融,40.0000,金融,——,2019-12-31,6.7900,0.0000,0.0000,0.0000,33.8959,33.8959,4.9920,4.9920
01911.HK,华兴资本控股,"4,020.0000",综合金融,40.0000,金融,——,2019-12-31,15.2200,0.0000,0.0000,0.0000,82.3979,82.3979,5.4138,5.4138
01905.HK,海通恒信,"4,020.0000",综合金融,40.0000,金融,——,2019-12-31,1.6800,5.6604,0.0000,0.0000,97.3468,138.3530,57.9445,82.3530
01806.HK,汇付天下,"4,020.0000",综合金融,40.0000,金融,——,2019-12-31,2.4900,-3.1128,0.0000,0.0000,31.1334,31.1334,12.5034,12.5034
01788.HK,国泰君安国际,"4,020.0000",综合金融,40.0000,金融,20.9722,2019-12-31,1.3800,-1.4286,0.0000,0.0000,106.4763,106.4763,77.1567,77.1567
01776.HK,广发证券,"4,020.0000",综合金融,40.0000,金融,19.5789,2019-12-31,9.4900,-1.1458,0.0000,0.0000,161.5005,723.2412,17.0180,76.2109
01359.HK,中国信达,"4,020.0000",综合金融,40.0000,金融,5.1521,2019-12-31,1.7700,1.1429,0.0000,0.0000,240.1466,675.5123,135.6760,381.6454
00806.HK,惠理集团,"4,020.0000",综合金融,40.0000,金融,17.1354,2019-12-31,4.8000,-1.2346,0.0000,0.0000,89.0440,89.0440,18.5508,18.5508
00665.HK,海通国际,"4,020.0000",综合金融,40.0000,金融,24.0688,2019-12-31,2.3700,-1.6598,0.0000,0.0000,140.7918,140.7918,59.4058,59.4058
00508.HK,鼎亿集团投资,"4,020.0000",综合金融,40.0000,金融,-2.0476,2019-12-31,0.2340,1.2987,0.0000,0.0000,17.2154,17.2154,73.5701,73.5701
00388.HK,香港交易所,"4,020.0000",综合金融,40.0000,金融,106.3958,2019-12-31,253.0000,-1.2490,0.0000,0.0000,"3,190.8393","3,190.8393",12.6120,12.6120
00165.HK,中国光大控股,"4,020.0000",综合金融,40.0000,金融,15.2938,2019-12-31,14.5600,1.3928,0.0000,0.0000,245.3729,245.3729,16.8525,16.8525
00142.HK,第一太平,"4,020.0000",综合金融,40.0000,金融,4.6672,2019-12-31,2.6500,-0.3759,0.0000,0.0000,115.1407,115.1407,43.4493,43.4493
00087.HK,太古股份公司B,"4,020.0000",综合金融,40.0000,金融,1.5682,2019-12-31,11.6600,0.3442,0.0000,0.0000,347.6860,347.6860,29.8187,29.8187
00086.HK,新鸿基公司,"4,020.0000",综合金融,40.0000,金融,5.9591,2019-12-31,3.7100,-0.8021,0.0000,0.0000,74.1711,74.1711,19.9922,19.9922
03898.HK,中车时代电气,"2,010.0000",资本品,20.0000,工业,17.7655,2019-12-31,28.2000,-1.7422,0.0000,0.0000,154.3469,331.4844,5.4733,11.7548
