成份代码,成份名称,所属GICS行业代码1,所属GICS行业1,所属GICS行业代码,所属GICS行业,市盈率(PE),截止日期,收盘价,涨跌幅[%],指数权重,指数贡献[点],流通市值[亿],总市值[亿],流通股本[亿],总股本[亿]
01051.HK,国际资源,"4,020.0000",综合金融,40.0000,金融,——,2010-06-30,0.4300,-1.1494,0.0000,0.0000,60.4874,60.4874,140.6683,140.6683
00806.HK,惠理集团,"4,020.0000",综合金融,40.0000,金融,17.1354,2010-06-30,4.8500,1.6771,0.0000,0.0000,77.6845,77.6845,16.0174,16.0174
00388.HK,香港交易所,"4,020.0000",综合金融,40.0000,金融,106.3958,2010-06-30,122.6000,-1.0492,0.0000,0.0000,"1,321.5242","1,321.5242",10.7792,10.7792
00165.HK,中国光大控股,"4,020.0000",综合金融,40.0000,金融,15.2938,2010-06-30,17.9600,0.5599,0.0000,0.0000,286.2883,286.2883,15.9403,15.9403
00142.HK,第一太平,"4,020.0000",综合金融,40.0000,金融,4.6672,2010-06-30,5.3000,-0.9346,0.0000,0.0000,205.7533,205.7533,38.8214,38.8214
03311.HK,中国建筑国际,"2,010.0000",资本品,20.0000,工业,11.8208,2010-06-30,2.3900,-2.0492,0.0000,0.0000,70.7237,70.7237,29.5915,29.5915
00658.HK,中国高速传动,"2,010.0000",资本品,20.0000,工业,112.4973,2010-06-30,16.5600,-1.8957,0.0000,0.0000,206.1838,206.1838,12.4507,12.4507
00589.HK,建中建设,"2,010.0000",资本品,20.0000,工业,——,2010-06-30,——,——,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
00363.HK,上海实业控股,"2,010.0000",资本品,20.0000,工业,4.8277,2010-06-30,31.1500,-1.4241,0.0000,0.0000,336.3468,336.3468,10.7977,10.7977
03898.HK,中车时代电气,"2,010.0000",资本品,20.0000,工业,17.7655,2010-06-30,16.6400,3.4826,0.0000,0.0000,75.8964,180.4201,4.5611,10.8426
03808.HK,中国重汽,"2,010.0000",资本品,20.0000,工业,179.1736,2010-06-30,6.2200,0.0000,0.0000,0.0000,171.7338,171.7338,27.6099,27.6099
03393.HK,威胜控股,"2,010.0000",资本品,20.0000,工业,4.5091,2010-06-30,4.9200,-2.3810,0.0000,0.0000,45.6905,45.6905,9.2867,9.2867
03339.HK,中国龙工,"2,010.0000",资本品,20.0000,工业,18.2962,2010-06-30,5.2200,0.9671,0.0000,0.0000,111.7106,111.7106,21.4005,21.4005
02727.HK,上海电气,"2,010.0000",资本品,20.0000,工业,11.7976,2010-06-30,3.4900,1.7493,0.0000,0.0000,103.7546,447.5446,29.7291,128.2363
01893.HK,中材股份,"2,010.0000",资本品,20.0000,工业,——,2010-06-30,4.7400,3.0435,0.0000,0.0000,55.1806,169.2874,11.6415,35.7146
01882.HK,海天国际,"2,010.0000",资本品,20.0000,工业,20.3687,2010-06-30,5.4500,-0.7286,0.0000,0.0000,86.9820,86.9820,15.9600,15.9600
01800.HK,中国交通建设,"2,010.0000",资本品,20.0000,工业,4.7153,2010-06-30,7.2000,2.4182,0.0000,0.0000,318.7800,"1,067.4000",44.2750,148.2500
01766.HK,中国中车,"2,010.0000",资本品,20.0000,工业,19.7299,2010-06-30,5.3600,0.5629,0.0000,0.0000,108.4864,634.6240,20.2400,118.4000
01618.HK,中国中冶,"2,010.0000",资本品,20.0000,工业,7.2148,2010-06-30,3.3700,-1.1730,0.0000,0.0000,96.7527,644.0070,28.7100,191.1000
01205.HK,中信资源,"2,010.0000",资本品,20.0000,工业,-1.6354,2010-06-30,1.3600,-0.7299,0.0000,0.0000,82.2877,82.2877,60.5057,60.5057
01186.HK,中国铁建,"2,010.0000",资本品,20.0000,工业,6.5847,2010-06-30,9.8600,-2.3762,0.0000,0.0000,204.7228,"1,216.4816",20.7630,123.3754
01072.HK,东方电气,"2,010.0000",资本品,20.0000,工业,4.5505,2010-06-30,24.2000,-3.3932,0.0000,0.0000,82.2800,283.6071,3.4000,11.7193
00983.HK,瑞安建业,"2,010.0000",资本品,20.0000,工业,-0.6443,2010-06-30,8.7200,0.0000,0.0000,0.0000,42.6087,42.6087,4.8863,4.8863
00868.HK,信义玻璃,"2,010.0000",资本品,20.0000,工业,15.5936,2010-06-30,2.9500,0.6826,0.0000,0.0000,104.4808,104.4808,35.4172,35.4172
