成份代码,成份名称,所属GICS行业代码1,所属GICS行业1,所属GICS行业代码,所属GICS行业,市盈率(PE),截止日期,收盘价,涨跌幅[%],指数权重,指数贡献[点],流通市值[亿],总市值[亿],流通股本[亿],总股本[亿]
06886.HK,HTSC,"4,020.0000",综合金融,40.0000,金融,43.7876,2016-06-30,16.4800,0.7335,0.0000,0.0000,283.2987,"1,180.4243",17.1905,71.6277
06881.HK,中国银河,"4,020.0000",综合金融,40.0000,金融,17.8049,2016-06-30,6.9300,1.1679,0.0000,0.0000,255.7852,660.9320,36.9098,95.3726
06878.HK,鼎丰集团控股,"4,020.0000",综合金融,40.0000,金融,95.7816,2016-06-30,0.5900,5.3571,0.0000,0.0000,24.9925,24.9925,42.3601,42.3601
06837.HK,海通证券,"4,020.0000",综合金融,40.0000,金融,18.0227,2016-06-30,13.0400,1.5576,0.0000,0.0000,444.6078,"1,499.8217",34.0957,115.0170
06030.HK,中信证券,"4,020.0000",综合金融,40.0000,金融,36.2819,2016-06-30,17.0000,3.5891,0.0000,0.0000,387.3157,"2,059.8744",22.7833,121.1691
03908.HK,中金公司,"4,020.0000",综合金融,40.0000,金融,167.9756,2016-06-30,11.7800,1.0292,0.0000,0.0000,179.0769,271.7256,15.2018,23.0667
03360.HK,远东宏信,"4,020.0000",综合金融,40.0000,金融,10.5754,2016-06-30,6.0200,2.3810,0.0000,0.0000,237.8141,237.8141,39.5040,39.5040
02666.HK,环球医疗,"4,020.0000",综合金融,40.0000,金融,22.6528,2016-06-30,5.5300,1.8416,0.0000,0.0000,94.9116,94.9116,17.1630,17.1630
01788.HK,国泰君安国际,"4,020.0000",综合金融,40.0000,金融,20.9722,2016-06-30,2.6300,-1.8657,0.0000,0.0000,182.7922,182.7922,69.5027,69.5027
01776.HK,广发证券,"4,020.0000",综合金融,40.0000,金融,19.5789,2016-06-30,17.6000,2.1000,0.0000,0.0000,299.5161,"1,341.3114",17.0180,76.2109
01428.HK,耀才证券金融,"4,020.0000",综合金融,40.0000,金融,19.2381,2016-06-30,2.2700,0.4425,0.0000,0.0000,38.5168,38.5168,16.9678,16.9678
01375.HK,中州证券,"4,020.0000",综合金融,40.0000,金融,22.9468,2016-06-30,3.3300,0.9091,0.0000,0.0000,41.6260,107.3504,12.5003,32.2373
01359.HK,中国信达,"4,020.0000",综合金融,40.0000,金融,5.1521,2016-06-30,2.6100,2.3529,0.0000,0.0000,304.3197,946.2996,116.5976,362.5669
01051.HK,国际资源,"4,020.0000",综合金融,40.0000,金融,——,2016-06-30,0.1480,2.0690,0.0000,0.0000,39.3154,39.3154,265.6448,265.6448
01004.HK,中国智慧能源,"4,020.0000",综合金融,40.0000,金融,-6.3510,2016-06-30,0.6000,20.0000,0.0000,0.0000,46.8861,46.8861,78.1435,78.1435
00993.HK,华融金控,"4,020.0000",综合金融,40.0000,金融,24.2346,2016-06-30,2.7400,-2.1429,0.0000,0.0000,91.4642,91.4642,33.3811,33.3811
00806.HK,惠理集团,"4,020.0000",综合金融,40.0000,金融,17.1354,2016-06-30,7.1100,2.7457,0.0000,0.0000,131.4436,131.4436,18.4871,18.4871
00721.HK,中国金融国际,"4,020.0000",综合金融,40.0000,金融,-6.0301,2016-06-30,0.5000,0.0000,0.0000,0.0000,54.8582,54.8582,109.7163,109.7163
00665.HK,海通国际,"4,020.0000",综合金融,40.0000,金融,24.0688,2016-06-30,4.6500,1.3072,0.0000,0.0000,247.6907,247.6907,53.2668,53.2668
00530.HK,高银金融,"4,020.0000",综合金融,40.0000,金融,9.6216,2016-06-30,4.8800,-1.2146,0.0000,0.0000,341.0950,341.0950,69.8965,69.8965
00388.HK,香港交易所,"4,020.0000",综合金融,40.0000,金融,106.3958,2016-06-30,187.6000,0.6438,0.0000,0.0000,"2,283.8411","2,283.8411",12.1740,12.1740
00378.HK,五龙动力,"4,020.0000",综合金融,40.0000,金融,-8.8104,2016-06-30,1.2200,0.0000,0.0000,0.0000,62.6549,62.6549,51.3565,51.3565
00245.HK,中薇金融,"4,020.0000",综合金融,40.0000,金融,"-2,331.4207",2016-06-30,0.8700,0.0000,0.0000,0.0000,251.6674,251.6674,289.2729,289.2729
00165.HK,中国光大控股,"4,020.0000",综合金融,40.0000,金融,15.2938,2016-06-30,14.9000,2.3352,0.0000,0.0000,251.1028,251.1028,16.8525,16.8525
00142.HK,第一太平,"4,020.0000",综合金融,40.0000,金融,4.6672,2016-06-30,5.6200,4.8507,0.0000,0.0000,240.2972,240.2972,42.7575,42.7575
00109.HK,天成国际,"4,020.0000",综合金融,40.0000,金融,30.2399,2016-06-30,0.5500,1.8519,0.0000,0.0000,39.6258,39.6258,72.0469,72.0469
00086.HK,新鸿基公司,"4,020.0000",综合金融,40.0000,金融,5.9591,2016-06-30,4.5400,0.8889,0.0000,0.0000,100.1752,100.1752,22.0650,22.0650
03996.HK,中国能源建设,"2,010.0000",资本品,20.0000,工业,12.9933,2016-06-30,1.2800,-0.7752,0.0000,0.0000,118.5592,384.2611,92.6244,300.2040
03898.HK,中车时代电气,"2,010.0000",资本品,20.0000,工业,17.7655,2016-06-30,42.6000,2.4038,0.0000,0.0000,233.1623,500.7530,5.4733,11.7548
03823.HK,德普科技,"2,010.0000",资本品,20.0000,工业,-1.7420,2016-06-30,2.5100,-0.3968,0.0000,0.0000,164.0752,164.0752,65.3686,65.3686
03808.HK,中国重汽,"2,010.0000",资本品,20.0000,工业,179.1736,2016-06-30,3.3400,-0.2985,0.0000,0.0000,92.2172,92.2172,27.6099,27.6099
03393.HK,威胜控股,"2,010.0000",资本品,20.0000,工业,4.5091,2016-06-30,4.1100,0.7353,0.0000,0.0000,41.7116,41.7116,10.1488,10.1488
03339.HK,中国龙工,"2,010.0000",资本品,20.0000,工业,18.2962,2016-06-30,1.1300,-0.8772,0.0000,0.0000,48.3651,48.3651,42.8010,42.8010
03311.HK,中国建筑国际,"2,010.0000",资本品,20.0000,工业,11.8208,2016-06-30,10.2200,4.3922,0.0000,0.0000,458.6878,458.6878,44.8814,44.8814
02789.HK,远大中国,"2,010.0000",资本品,20.0000,工业,2.7596,2016-06-30,0.2330,2.1930,0.0000,0.0000,14.4664,14.4664,62.0873,62.0873
02727.HK,上海电气,"2,010.0000",资本品,20.0000,工业,11.7976,2016-06-30,3.2500,-0.6116,0.0000,0.0000,96.6196,416.7900,29.7291,128.2431
02382.HK,舜宇光学科技,"2,010.0000",资本品,20.0000,工业,227.2925,2016-06-30,27.1500,-0.7313,0.0000,0.0000,297.8355,297.8355,10.9700,10.9700
02357.HK,中航科工,"2,010.0000",资本品,20.0000,工业,32.5609,2016-06-30,5.3700,1.8975,0.0000,0.0000,126.5405,320.3807,23.5643,59.6612
02128.HK,中国联塑,"2,010.0000",资本品,20.0000,工业,23.9670,2016-06-30,4.1000,1.2346,0.0000,0.0000,127.1992,127.1992,31.0242,31.0242
02039.HK,中集集团,"2,010.0000",资本品,20.0000,工业,10.3471,2016-06-30,9.5400,0.0000,0.0000,0.0000,163.7614,284.1355,17.1658,29.7836
01882.HK,海天国际,"2,010.0000",资本品,20.0000,工业,20.3687,2016-06-30,13.6400,5.5728,0.0000,0.0000,217.6944,217.6944,15.9600,15.9600
01848.HK,中国飞机租赁,"2,010.0000",资本品,20.0000,工业,29.6303,2016-06-30,7.2700,-0.1374,0.0000,0.0000,45.2764,45.2764,6.2278,6.2278
01829.HK,中国机械工程,"2,010.0000",资本品,20.0000,工业,3.0960,2016-06-30,5.0300,2.8630,0.0000,0.0000,45.6860,207.5227,9.0827,41.2570
01800.HK,中国交通建设,"2,010.0000",资本品,20.0000,工业,4.7153,2016-06-30,8.3000,2.2167,0.0000,0.0000,367.4825,"1,342.5030",44.2750,161.7474
01766.HK,中国中车,"2,010.0000",资本品,20.0000,工业,19.7299,2016-06-30,6.9100,1.6176,0.0000,0.0000,302.0407,"1,885.6532",43.7107,272.8876
01685.HK,博耳电力,"2,010.0000",资本品,20.0000,工业,0.6258,2016-06-30,3.3800,-0.2950,0.0000,0.0000,26.1534,26.1534,7.7377,7.7377
01618.HK,中国中冶,"2,010.0000",资本品,20.0000,工业,7.2148,2016-06-30,2.3700,1.2821,0.0000,0.0000,68.0427,452.9070,28.7100,191.1000
01366.HK,江南集团,"2,010.0000",资本品,20.0000,工业,3.5348,2016-06-30,1.2400,0.8130,0.0000,0.0000,50.5779,50.5779,40.7887,40.7887
01205.HK,中信资源,"2,010.0000",资本品,20.0000,工业,-1.6354,2016-06-30,0.7200,0.0000,0.0000,0.0000,56.5756,56.5756,78.5773,78.5773
01186.HK,中国铁建,"2,010.0000",资本品,20.0000,工业,6.5847,2016-06-30,9.6700,2.4364,0.0000,0.0000,200.7778,"1,313.1417",20.7630,135.7954
01165.HK,顺风清洁能源,"2,010.0000",资本品,20.0000,工业,-0.2179,2016-06-30,1.0100,0.0000,0.0000,0.0000,43.5729,43.5729,43.1415,43.1415
01157.HK,中联重科,"2,010.0000",资本品,20.0000,工业,13.2550,2016-06-30,2.6600,3.1008,0.0000,0.0000,36.9263,203.8659,13.8821,76.6413
01101.HK,华荣能源,"2,010.0000",资本品,20.0000,工业,-0.0380,2016-06-30,0.5100,10.8696,0.0000,0.0000,11.0751,11.0751,21.7159,21.7159
01072.HK,东方电气,"2,010.0000",资本品,20.0000,工业,4.5505,2016-06-30,6.0700,0.6633,0.0000,0.0000,20.6380,141.8499,3.4000,23.3690
00868.HK,信义玻璃,"2,010.0000",资本品,20.0000,工业,15.5936,2016-06-30,5.7000,1.4235,0.0000,0.0000,221.2115,221.2115,38.8090,38.8090
00750.HK,水发兴业能源,"2,010.0000",资本品,20.0000,工业,2.3838,2016-06-30,2.6600,0.3774,0.0000,0.0000,22.1863,22.1863,8.3407,8.3407
00659.HK,新创建集团,"2,010.0000",资本品,20.0000,工业,6.1766,2016-06-30,12.2200,4.6233,0.0000,0.0000,468.2663,468.2663,38.3197,38.3197
00658.HK,中国高速传动,"2,010.0000",资本品,20.0000,工业,112.4973,2016-06-30,6.2100,-0.6400,0.0000,0.0000,101.5516,101.5516,16.3529,16.3529
00631.HK,三一国际,"2,010.0000",资本品,20.0000,工业,26.9936,2016-06-30,1.4400,0.0000,0.0000,0.0000,43.7908,43.7908,30.4103,30.4103
00586.HK,海螺创业,"2,010.0000",资本品,20.0000,工业,27.0381,2016-06-30,15.3600,1.5873,0.0000,0.0000,277.2096,277.2096,18.0475,18.0475
00404.HK,新昌集团控股,"2,010.0000",资本品,20.0000,工业,10.7730,2016-06-30,0.7500,11.9403,0.0000,0.0000,42.7851,42.7851,57.0468,57.0468
00390.HK,中国中铁,"2,010.0000",资本品,20.0000,工业,8.5937,2016-06-30,5.7600,1.9469,0.0000,0.0000,242.3457,"1,315.8318",42.0739,228.4430
00363.HK,上海实业控股,"2,010.0000",资本品,20.0000,工业,4.8277,2016-06-30,17.5200,1.8605,0.0000,0.0000,190.2410,190.2410,10.8585,10.8585
00317.HK,中船防务,"2,010.0000",资本品,20.0000,工业,701.1400,2016-06-30,11.2000,1.0830,0.0000,0.0000,66.3120,158.3127,5.9207,14.1351
00232.HK,中国航空工业国际,"2,010.0000",资本品,20.0000,工业,3.2085,2016-06-30,0.5000,1.0101,0.0000,0.0000,27.5980,27.5980,55.1959,55.1959
00179.HK,德昌电机控股,"2,010.0000",资本品,20.0000,工业,8.4526,2016-06-30,17.3000,-3.1355,0.0000,0.0000,152.0401,152.0401,8.7884,8.7884
00148.HK,建滔集团,"2,010.0000",资本品,20.0000,工业,8.5723,2016-06-30,15.3800,-0.6460,0.0000,0.0000,157.7373,157.7373,10.2560,10.2560
03933.HK,联邦制药,"3,520.0000",制药、生物科技和生命科学,35.0000,医疗保健,331.6611,2016-06-30,3.0500,1.6667,0.0000,0.0000,49.6197,49.6197,16.2688,16.2688
02877.HK,神威药业,"3,520.0000",制药、生物科技和生命科学,35.0000,医疗保健,5.1549,2016-06-30,8.4800,0.0000,0.0000,0.0000,70.1296,70.1296,8.2700,8.2700
02348.HK,东瑞制药,"3,520.0000",制药、生物科技和生命科学,35.0000,医疗保健,7.1673,2016-06-30,5.9200,-0.8375,0.0000,0.0000,47.5063,47.5063,8.0247,8.0247
