成份代码,成份名称,所属GICS行业代码1,所属GICS行业1,所属GICS行业代码,所属GICS行业,市盈率(PE),截止日期,收盘价,涨跌幅[%],指数权重,指数贡献[点],流通市值[亿],总市值[亿],流通股本[亿],总股本[亿]
01051.HK,国际资源,"4,020.0000",综合金融,40.0000,金融,——,2010-12-31,0.6100,-1.6129,0.0000,0.0000,85.8077,85.8077,140.6683,140.6683
00806.HK,惠理集团,"4,020.0000",综合金融,40.0000,金融,17.1354,2010-12-31,7.8000,1.1673,0.0000,0.0000,136.6711,136.6711,17.5219,17.5219
00388.HK,香港交易所,"4,020.0000",综合金融,40.0000,金融,106.3958,2010-12-31,176.3000,-0.5079,0.0000,0.0000,"1,900.6768","1,900.6768",10.7809,10.7809
00165.HK,中国光大控股,"4,020.0000",综合金融,40.0000,金融,15.2938,2010-12-31,17.5600,0.1140,0.0000,0.0000,302.6577,302.6577,17.2356,17.2356
00142.HK,第一太平,"4,020.0000",综合金融,40.0000,金融,4.6672,2010-12-31,7.0000,-0.1427,0.0000,0.0000,273.1915,273.1915,39.0274,39.0274
03898.HK,中车时代电气,"2,010.0000",资本品,20.0000,工业,17.7655,2010-12-31,30.5500,2.6891,0.0000,0.0000,139.3411,331.2401,4.5611,10.8426
03808.HK,中国重汽,"2,010.0000",资本品,20.0000,工业,179.1736,2010-12-31,8.0100,0.0000,0.0000,0.0000,221.1556,221.1556,27.6099,27.6099
03393.HK,威胜控股,"2,010.0000",资本品,20.0000,工业,4.5091,2010-12-31,5.1400,1.3807,0.0000,0.0000,47.7438,47.7438,9.2887,9.2887
03339.HK,中国龙工,"2,010.0000",资本品,20.0000,工业,18.2962,2010-12-31,4.2500,0.7109,0.0000,0.0000,181.9043,181.9043,42.8010,42.8010
03311.HK,中国建筑国际,"2,010.0000",资本品,20.0000,工业,11.8208,2010-12-31,7.3400,0.6859,0.0000,0.0000,218.6923,218.6923,29.7946,29.7946
02727.HK,上海电气,"2,010.0000",资本品,20.0000,工业,11.7976,2010-12-31,5.1300,1.5842,0.0000,0.0000,152.5104,657.8520,29.7291,128.2363
02357.HK,中航科工,"2,010.0000",资本品,20.0000,工业,32.5609,2010-12-31,3.6600,0.0000,0.0000,0.0000,67.0157,181.1343,18.3103,49.4902
02128.HK,中国联塑,"2,010.0000",资本品,20.0000,工业,23.9670,2010-12-31,6.2600,0.3205,0.0000,0.0000,187.8000,187.8000,30.0000,30.0000
01893.HK,中材股份,"2,010.0000",资本品,20.0000,工业,——,2010-12-31,6.2700,0.9662,0.0000,0.0000,72.9921,223.9308,11.6415,35.7146
01882.HK,海天国际,"2,010.0000",资本品,20.0000,工业,20.3687,2010-12-31,8.1100,-4.0237,0.0000,0.0000,129.4356,129.4356,15.9600,15.9600
01800.HK,中国交通建设,"2,010.0000",资本品,20.0000,工业,4.7153,2010-12-31,6.8000,3.0303,0.0000,0.0000,301.0700,"1,008.1000",44.2750,148.2500
01766.HK,中国中车,"2,010.0000",资本品,20.0000,工业,19.7299,2010-12-31,10.2200,1.1881,0.0000,0.0000,206.8528,"1,210.0480",20.2400,118.4000
01683.HK,旷逸国际,"2,010.0000",资本品,20.0000,工业,17.6602,2010-12-31,——,——,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
01618.HK,中国中冶,"2,010.0000",资本品,20.0000,工业,7.2148,2010-12-31,3.4300,0.2924,0.0000,0.0000,98.4753,655.4730,28.7100,191.1000
01205.HK,中信资源,"2,010.0000",资本品,20.0000,工业,-1.6354,2010-12-31,1.7500,-1.1299,0.0000,0.0000,105.8849,105.8849,60.5057,60.5057
01186.HK,中国铁建,"2,010.0000",资本品,20.0000,工业,6.5847,2010-12-31,9.3600,-0.7423,0.0000,0.0000,194.3413,"1,154.7939",20.7630,123.3754
01072.HK,东方电气,"2,010.0000",资本品,20.0000,工业,4.5505,2010-12-31,38.5000,0.9174,0.0000,0.0000,130.9000,771.4861,3.4000,20.0386
00983.HK,瑞安建业,"2,010.0000",资本品,20.0000,工业,-0.6443,2010-12-31,9.0500,2.1445,0.0000,0.0000,44.2694,44.2694,4.8916,4.8916
00868.HK,信义玻璃,"2,010.0000",资本品,20.0000,工业,15.5936,2010-12-31,6.4000,0.6289,0.0000,0.0000,225.0939,225.0939,35.1709,35.1709
00659.HK,新创建集团,"2,010.0000",资本品,20.0000,工业,6.1766,2010-12-31,11.8000,-1.1725,0.0000,0.0000,391.1731,391.1731,33.1503,33.1503
00658.HK,中国高速传动,"2,010.0000",资本品,20.0000,工业,112.4973,2010-12-31,12.0400,2.0339,0.0000,0.0000,165.5586,165.5586,13.7507,13.7507
00631.HK,三一国际,"2,010.0000",资本品,20.0000,工业,26.9936,2010-12-31,11.4600,0.3503,0.0000,0.0000,237.7950,237.7950,20.7500,20.7500
00589.HK,建中建设,"2,010.0000",资本品,20.0000,工业,——,2010-12-31,——,——,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
00390.HK,中国中铁,"2,010.0000",资本品,20.0000,工业,8.5937,2010-12-31,5.6100,0.5376,0.0000,0.0000,236.0346,"1,194.9244",42.0739,212.9990
00363.HK,上海实业控股,"2,010.0000",资本品,20.0000,工业,4.8277,2010-12-31,33.6000,2.1277,0.0000,0.0000,362.8078,362.8078,10.7979,10.7979
00331.HK,丰盛服务集团,"2,010.0000",资本品,20.0000,工业,10.5640,2010-12-31,——,——,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
00179.HK,德昌电机控股,"2,010.0000",资本品,20.0000,工业,8.4526,2010-12-31,5.5600,1.0909,0.0000,0.0000,204.2627,204.2627,36.7379,36.7379
00148.HK,建滔集团,"2,010.0000",资本品,20.0000,工业,8.5723,2010-12-31,46.5500,2.3077,0.0000,0.0000,395.4410,395.4410,8.4950,8.4950
00013.HK,和记黄埔,"2,010.0000",资本品,20.0000,工业,——,2010-12-31,80.0000,-1.2346,0.0000,0.0000,"3,410.6966","3,410.6966",42.6337,42.6337
03933.HK,联邦制药,"3,520.0000",制药、生物科技和生命科学,35.0000,医疗保健,331.6611,2010-12-31,15.9600,-0.3745,0.0000,0.0000,207.7194,207.7194,13.0150,13.0150
