成份代码,成份名称,所属GICS行业代码1,所属GICS行业1,所属GICS行业代码,所属GICS行业,市盈率(PE),截止日期,收盘价,涨跌幅[%],指数权重,指数贡献[点],流通市值[亿],总市值[亿],流通股本[亿],总股本[亿]
00142.HK,第一太平,"4,020.0000",综合金融,40.0000,金融,4.6672,2013-12-31,8.8200,1.0309,0.0000,0.0000,380.1130,380.1130,43.0967,43.0967
06881.HK,中国银河,"4,020.0000",综合金融,40.0000,金融,17.8049,2013-12-31,6.7600,3.0488,0.0000,0.0000,114.3106,509.5187,16.9098,75.3726
06837.HK,海通证券,"4,020.0000",综合金融,40.0000,金融,18.0227,2013-12-31,13.5000,0.4464,0.0000,0.0000,201.4997,"1,293.9374",14.9259,95.8472
06030.HK,中信证券,"4,020.0000",综合金融,40.0000,金融,36.2819,2013-12-31,21.1500,1.9277,0.0000,0.0000,249.2163,"2,330.0761",11.7833,110.1691
03360.HK,远东宏信,"4,020.0000",综合金融,40.0000,金融,10.5754,2013-12-31,6.6300,2.4730,0.0000,0.0000,218.2861,218.2861,32.9240,32.9240
01788.HK,国泰君安国际,"4,020.0000",综合金融,40.0000,金融,20.9722,2013-12-31,3.9400,-1.2531,0.0000,0.0000,68.0694,68.0694,17.2765,17.2765
01051.HK,国际资源,"4,020.0000",综合金融,40.0000,金融,——,2013-12-31,0.1870,-1.5789,0.0000,0.0000,49.5364,49.5364,264.9008,264.9008
00806.HK,惠理集团,"4,020.0000",综合金融,40.0000,金融,17.1354,2013-12-31,6.0000,2.7397,0.0000,0.0000,105.3122,105.3122,17.5520,17.5520
00388.HK,香港交易所,"4,020.0000",综合金融,40.0000,金融,106.3958,2013-12-31,129.3000,-0.5385,0.0000,0.0000,"1,501.8391","1,501.8391",11.6152,11.6152
00165.HK,中国光大控股,"4,020.0000",综合金融,40.0000,金融,15.2938,2013-12-31,12.2600,2.1667,0.0000,0.0000,210.8842,210.8842,17.2010,17.2010
03898.HK,中车时代电气,"2,010.0000",资本品,20.0000,工业,17.7655,2013-12-31,27.9000,2.0110,0.0000,0.0000,152.7049,327.9580,5.4733,11.7548
03808.HK,中国重汽,"2,010.0000",资本品,20.0000,工业,179.1736,2013-12-31,4.3500,0.4619,0.0000,0.0000,120.1032,120.1032,27.6099,27.6099
03339.HK,中国龙工,"2,010.0000",资本品,20.0000,工业,18.2962,2013-12-31,1.5100,0.0000,0.0000,0.0000,64.6295,64.6295,42.8010,42.8010
03311.HK,中国建筑国际,"2,010.0000",资本品,20.0000,工业,11.8208,2013-12-31,13.9000,1.4599,0.0000,0.0000,540.5355,540.5355,38.8874,38.8874
02789.HK,远大中国,"2,010.0000",资本品,20.0000,工业,2.7596,2013-12-31,0.6800,0.0000,0.0000,0.0000,42.2194,42.2194,62.0873,62.0873
02727.HK,上海电气,"2,010.0000",资本品,20.0000,工业,11.7976,2013-12-31,2.8200,0.7143,0.0000,0.0000,83.8361,361.6263,29.7291,128.2363
02382.HK,舜宇光学科技,"2,010.0000",资本品,20.0000,工业,227.2925,2013-12-31,7.5400,0.6676,0.0000,0.0000,82.7138,82.7138,10.9700,10.9700
02357.HK,中航科工,"2,010.0000",资本品,20.0000,工业,32.5609,2013-12-31,4.5100,0.8949,0.0000,0.0000,106.2752,246.8968,23.5643,54.7443
02128.HK,中国联塑,"2,010.0000",资本品,20.0000,工业,23.9670,2013-12-31,5.4000,-1.0989,0.0000,0.0000,166.0895,166.0895,30.7573,30.7573
02039.HK,中集集团,"2,010.0000",资本品,20.0000,工业,10.3471,2013-12-31,16.5000,1.8518,0.0000,0.0000,236.0293,439.2953,14.3048,26.6240
01882.HK,海天国际,"2,010.0000",资本品,20.0000,工业,20.3687,2013-12-31,17.5200,-0.7927,0.0000,0.0000,279.6192,279.6192,15.9600,15.9600
01829.HK,中国机械工程,"2,010.0000",资本品,20.0000,工业,3.0960,2013-12-31,6.2700,0.8039,0.0000,0.0000,56.9485,258.6814,9.0827,41.2570
01800.HK,中国交通建设,"2,010.0000",资本品,20.0000,工业,4.7153,2013-12-31,6.2500,0.4823,0.0000,0.0000,276.7188,"1,010.9210",44.2750,161.7474
01766.HK,中国中车,"2,010.0000",资本品,20.0000,工业,19.7299,2013-12-31,6.3600,-0.7800,0.0000,0.0000,128.7264,877.8708,20.2400,138.0300
01618.HK,中国中冶,"2,010.0000",资本品,20.0000,工业,7.2148,2013-12-31,1.4300,-0.6945,0.0000,0.0000,41.0553,273.2730,28.7100,191.1000
01205.HK,中信资源,"2,010.0000",资本品,20.0000,工业,-1.6354,2013-12-31,1.0300,0.9804,0.0000,0.0000,81.0458,81.0458,78.6853,78.6853
01186.HK,中国铁建,"2,010.0000",资本品,20.0000,工业,6.5847,2013-12-31,7.7200,-1.1524,0.0000,0.0000,160.2901,952.4582,20.7630,123.3754
01157.HK,中联重科,"2,010.0000",资本品,20.0000,工业,13.2550,2013-12-31,7.2400,-0.1379,0.0000,0.0000,103.5341,557.9111,14.3003,77.0595
01101.HK,华荣能源,"2,010.0000",资本品,20.0000,工业,-0.0380,2013-12-31,1.2100,0.0000,0.0000,0.0000,84.7000,84.7000,70.0000,70.0000
01072.HK,东方电气,"2,010.0000",资本品,20.0000,工业,4.5505,2013-12-31,13.6000,1.7964,0.0000,0.0000,46.2400,272.5250,3.4000,20.0386
00868.HK,信义玻璃,"2,010.0000",资本品,20.0000,工业,15.5936,2013-12-31,6.8400,0.7364,0.0000,0.0000,268.2217,268.2217,39.2137,39.2137
00716.HK,胜狮货柜,"2,010.0000",资本品,20.0000,工业,3.1373,2013-12-31,1.8200,2.2472,0.0000,0.0000,44.0516,44.0516,24.2042,24.2042
00659.HK,新创建集团,"2,010.0000",资本品,20.0000,工业,6.1766,2013-12-31,11.8200,3.1414,0.0000,0.0000,439.1282,439.1282,37.1513,37.1513
00658.HK,中国高速传动,"2,010.0000",资本品,20.0000,工业,112.4973,2013-12-31,4.2100,2.9340,0.0000,0.0000,68.8458,68.8458,16.3529,16.3529
00631.HK,三一国际,"2,010.0000",资本品,20.0000,工业,26.9936,2013-12-31,2.4300,0.0000,0.0000,0.0000,73.8969,73.8969,30.4103,30.4103
00589.HK,建中建设,"2,010.0000",资本品,20.0000,工业,——,2013-12-31,——,——,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
00390.HK,中国中铁,"2,010.0000",资本品,20.0000,工业,8.5937,2013-12-31,4.0000,-0.7444,0.0000,0.0000,168.2956,851.9960,42.0739,212.9990
00363.HK,上海实业控股,"2,010.0000",资本品,20.0000,工业,4.8277,2013-12-31,28.3500,-0.1761,0.0000,0.0000,306.9601,306.9601,10.8275,10.8275
00179.HK,德昌电机控股,"2,010.0000",资本品,20.0000,工业,8.4526,2013-12-31,7.5000,-1.3158,0.0000,0.0000,268.4397,268.4397,35.7920,35.7920
00148.HK,建滔集团,"2,010.0000",资本品,20.0000,工业,8.5723,2013-12-31,20.2500,0.0000,0.0000,0.0000,207.6840,207.6840,10.2560,10.2560
00013.HK,和记黄埔,"2,010.0000",资本品,20.0000,工业,——,2013-12-31,105.4000,0.3810,0.0000,0.0000,"4,493.5928","4,493.5928",42.6337,42.6337
00587.HK,华瀚健康,"3,520.0000",制药、生物科技和生命科学,35.0000,医疗保健,11.1734,2013-12-31,1.5100,4.8611,0.0000,0.0000,48.1750,48.1750,31.9040,31.9040
03933.HK,联邦制药,"3,520.0000",制药、生物科技和生命科学,35.0000,医疗保健,331.6611,2013-12-31,3.1100,3.6667,0.0000,0.0000,50.5958,50.5958,16.2688,16.2688
02877.HK,神威药业,"3,520.0000",制药、生物科技和生命科学,35.0000,医疗保健,5.1549,2013-12-31,10.6200,2.1154,0.0000,0.0000,87.8274,87.8274,8.2700,8.2700
02005.HK,石四药集团,"3,520.0000",制药、生物科技和生命科学,35.0000,医疗保健,33.0506,2013-12-31,2.1200,1.9231,0.0000,0.0000,62.1144,62.1144,29.2993,29.2993
