开仓时间,开仓标的,开仓价格,平仓时间,平仓价格
20110630,17,25.9215,20110729,25.787
20110729,1733,41.095,20110831,29.5619
20110729,2300,1.6298,20110831,1.6124
20110729,893,2.6448,20110831,2.0488
20110729,1882,7.5691,20110831,5.7756
20110729,148,20.8545,20110831,16.467
20110729,1308,2.0044,20110831,1.5078
20110729,1361,2.571,20110831,2.8299
20110729,709,3.3146,20110831,3.5235
20110729,590,26.8006,20110831,25.6963
20110729,886,4.9172,20110831,5.0006
20110729,73,6.0814,20110831,4.9805
20110729,2010,3.2136,20110831,2.7199
20110729,1888,2.5665,20110831,2.4617
20110729,2208,3.6288,20110831,2.4487
20110729,53,66.7986,20110831,61.7879
20110729,17,25.787,20110831,22.2665
20110831,1733,29.5619,20110930,25.1047
20110831,2300,1.6124,20110930,1.6037
20110831,893,2.0488,20110930,1.2572
20110831,358,17.0924,20110930,11.0806
20110831,2128,2.9221,20110930,2.5884
20110831,1882,5.7756,20110930,4.9061
20110831,1685,1.9971,20110930,1.6143
20110831,148,16.467,20110930,12.521
20110831,1308,1.5078,20110930,1.0052
20110831,1361,2.8299,20110930,2.3798
20110831,709,3.5235,20110930,3.0006
20110831,886,5.0006,20110930,4.5326
20110831,2010,2.7199,20110930,2.3418
20110831,1888,2.4617,20110930,1.7242
20110831,2208,2.4487,20110930,2.2599
20110831,53,61.7879,20110930,52.9308
20110831,17,22.2665,20110930,17.0194
20110930,1733,25.1047,20111031,34.7394
20110930,893,1.2572,20111031,1.5832
20110930,358,11.0806,20111031,15.7172
20110930,2128,2.5884,20111031,3.2781
20110930,148,12.521,20111031,15.1718
20110930,1308,1.0052,20111031,1.2239
20110930,1361,2.3798,20111031,2.7094
20110930,709,3.0006,20111031,3.2694
20110930,73,4.3325,20111031,4.8918
20110930,2010,2.3418,20111031,2.2744
20110930,806,2.1892,20111031,3.382
20110930,82,0.4677,20111031,0.875
20110930,1888,1.7242,20111031,2.3828
20110930,2208,2.2599,20111031,2.9208
20110930,17,17.0194,20111031,21.5176
20111031,1733,34.7394,20111130,36.0965
20111031,893,1.5832,20111130,1.4062
20111031,2128,3.2781,20111130,2.4475
20111031,1882,5.6646,20111130,5.3257
20111031,148,15.1718,20111130,11.6185
20111031,1308,1.2239,20111130,0.952
20111031,1361,2.7094,20111130,2.152
20111031,709,3.2694,20111130,3.1158
20111031,73,4.8918,20111130,4.5354
20111031,2010,2.2744,20111130,2.4934
20111031,1888,2.3828,20111130,1.8848
20111031,2208,2.9208,20111130,2.6316
20111130,893,1.4062,20111230,1.4341
20111130,358,13.9411,20111230,13.4688
20111130,2128,2.4475,20111230,2.5068
20111130,1685,1.8223,20111230,1.8639
20111130,148,11.6185,20111230,12.8312
20111130,1308,0.952,20111230,1.1826
20111130,1361,2.152,20111230,2.0094
20111130,709,3.1158,20111230,3.1213
20111130,590,19.8949,20111230,17.9613
20111130,886,4.4685,20111230,4.0453
20111130,73,4.5354,20111230,3.7033
20111130,2010,2.4934,20111230,2.148
20111130,1888,1.8848,20111230,1.9063
20111130,2208,2.6316,20111230,2.4015
20111230,1733,30.8041,20120131,25.7832
20111230,893,1.4341,20120131,1.5366
20111230,358,13.4688,20120131,15.9205
20111230,2128,2.5068,20120131,3.0111
20111230,1685,1.8639,20120131,1.7974
20111230,148,12.8312,20120131,14.636
20111230,1308,1.1826,20120131,1.2121
20111230,1361,2.0094,20120131,1.9769
20111230,709,3.1213,20120131,3.4943
20111230,590,17.9613,20120131,18.7626
20111230,886,4.0453,20120131,4.0261
20111230,73,3.7033,20120131,3.9319
20111230,2010,2.148,20120131,2.2407
20111230,1888,1.9063,20120131,2.2383
20111230,2208,2.4015,20120131,2.7379
20120131,1733,25.7832,20120229,29.7185
20120131,2300,1.3257,20120229,1.5039
20120131,893,1.5366,20120229,1.9091
20120131,1685,1.7974,20120229,2.7044
20120131,148,14.636,20120229,16.2434
20120131,1308,1.2121,20120229,1.5255
20120131,1361,1.9769,20120229,2.1584
20120131,709,3.4943,20120229,3.423
20120131,590,18.7626,20120229,18.9295
20120131,1068,12.94,20120229,11.3
20120131,886,4.0261,20120229,3.9235
20120131,73,3.9319,20120229,4.1879
20120131,2010,2.2407,20120229,2.3671
20120131,1888,2.2383,20120229,2.506
20120131,2208,2.7379,20120229,3.0093
20120229,1733,29.7185,20120330,21.4407
20120229,893,1.9091,20120330,1.6949
20120229,358,16.9156,20120330,14.1215
20120229,1882,6.5038,20120330,7.0203
20120229,148,16.2434,20120330,14.777
20120229,1308,1.5255,20120330,1.4072
20120229,1361,2.1584,20120330,1.5427
20120229,709,3.423,20120330,3.3352
20120229,590,18.9295,20120330,15.7579
20120229,1068,11.3,20120330,11.08
20120229,886,3.9235,20120330,3.4363
20120229,73,4.1879,20120330,4.8755
20120229,2010,2.3671,20120330,2.0806
20120229,1888,2.506,20120330,1.9705
20120229,2208,3.0093,20120330,2.4605
20120330,1733,21.4407,20120430,24.1548
20120330,2300,1.5146,20120430,1.5503
20120330,893,1.6949,20120430,1.6297
20120330,358,14.1215,20120430,15.0449
20120330,1685,2.5962,20120430,2.3133
20120330,2238,3.8291,20120430,4.3776
20120330,1368,2.0851,20120430,2.1343
20120330,1361,1.5427,20120430,1.5491
20120330,709,3.3352,20120430,3.6479
20120330,590,15.7579,20120430,14.5894
20120330,886,3.4363,20120430,2.6926
20120330,73,4.8755,20120430,4.3389
20120330,2010,2.0806,20120430,1.8701
20120330,460,1.039,20120430,1.0252
20120330,1888,1.9705,20120430,1.9652
20120330,285,2.1194,20120430,2.0924
20120330,182,0.2644,20120430,0.2529
20120330,16,70.6232,20120430,70.9238
20120430,1685,2.3133,20120531,2.1219
20120430,525,2.2515,20120531,2.0298
20120430,425,7.48,20120531,7.3019
20120430,1368,2.1343,20120531,1.9814
20120430,3998,1.4779,20120531,1.2505
20120430,590,14.5894,20120531,11.0839
20120430,116,14.3852,20120531,12.2737
20120430,886,2.6926,20120531,2.308
20120430,73,4.3389,20120531,3.5618
20120430,2010,1.8701,20120531,1.76
20120430,2877,8.4237,20120531,8.3535
20120430,460,1.0252,20120531,0.9217
20120430,82,0.8448,20120531,0.6267
20120430,6,30.6891,20120531,29.3817
20120430,16,70.9238,20120531,65.7397
20120531,1898,5.7206,20120629,4.9207
20120531,1685,2.1219,20120629,2.2178
20120531,525,2.0298,20120629,1.8606
20120531,2238,3.4687,20120629,3.3433
20120531,1368,1.9814,20120629,1.8527
20120531,3998,1.2505,20120629,1.3374
20120531,1361,1.3369,20120629,1.2025
20120531,1234,3.2688,20120629,2.9153
20120531,590,11.0839,20120629,10.4697
20120531,116,12.2737,20120629,11.231
20120531,886,2.308,20120629,1.9874
20120531,73,3.5618,20120629,3.9504
20120531,2010,1.76,20120629,1.4695
20120531,2877,8.3535,20120629,7.8766
20120531,460,0.9217,20120629,0.9974
20120531,82,0.6267,20120629,0.5264
20120531,6,29.3817,20120629,31.7982
20120531,16,65.7397,20120629,68.2191
20120629,746,2.5345,20120731,2.4825
20120629,67,47.2995,20120731,46.1552
20120629,1685,2.2178,20120731,1.8985
20120629,525,1.8606,20120731,1.9814
20120629,2238,3.3433,20120731,3.1271
20120629,1368,1.8527,20120731,1.5311
20120629,3998,1.3374,20120731,1.3241
20120629,2222,0.2639,20120731,0
20120629,1361,1.2025,20120731,1.1958
20120629,1234,2.9153,20120731,2.5563
20120629,887,0.6161,20120731,0.5987
20120629,590,10.4697,20120731,12.3659
20120629,116,11.231,20120731,11.7375
20120629,73,3.9504,20120731,3.4045
20120629,2010,1.4695,20120731,1.7941
20120629,2877,7.8766,20120731,7.9343
20120629,460,0.9974,20120731,1.0588
20120629,82,0.5264,20120731,0.5097
20120629,6,31.7982,20120731,33.4732
20120629,16,68.2191,20120731,72.2761
20120731,746,2.4825,20120831,2.372
20120731,67,46.1552,20120831,50.3511
20120731,1685,1.8985,20120831,2.1142
20120731,1157,6.2656,20120831,6.0524
20120731,525,1.9814,20120831,1.8042
20120731,2238,3.1271,20120831,3.0835
20120731,1368,1.5311,20120831,1.8398
20120731,1361,1.1958,20120831,1.3772
20120731,1234,2.5563,20120831,3.1122
20120731,887,0.5987,20120831,0.6508
20120731,590,12.3659,20120831,14.1026
20120731,1115,1.6174,20120831,1.8761
20120731,73,3.4045,20120831,3.3305
20120731,2010,1.7941,20120831,1.871
20120731,2877,7.9343,20120831,8.5835
20120731,82,0.5097,20120831,0.5838
20120731,6,33.4732,20120831,34.5315
20120831,3393,1.8532,20120928,1.8402
20120831,1685,2.1142,20120928,2.2868
20120831,1157,6.0524,20120928,6.1803
20120831,2238,3.0835,20120928,2.7287
20120831,1368,1.8398,20120928,1.8234
20120831,1234,3.1122,20120928,2.1909
20120831,1146,1.0531,20120928,1.024
20120831,590,14.1026,20120928,17.0321
20120831,1112,17.4253,20120928,18.3282
20120831,73,3.3305,20120928,3.6081
20120831,2010,1.871,20120928,2.0351
20120831,82,0.5838,20120928,0.5838
20120831,6,34.5315,20120928,35.8906
20120831,173,2.3098,20120928,2.7
20120928,746,2.3908,20121031,2.683
20120928,67,51.4954,20121031,59.8873
20120928,3393,1.8402,20121031,1.8598
20120928,1685,2.2868,20121031,2.399
20120928,1157,6.1803,20121031,7.5016
20120928,2238,2.7287,20121031,2.9053
20120928,425,6.5942,20121031,6.4254
20120928,1368,1.8234,20121031,2.2692
20120928,1234,2.1909,20121031,2.4156
20120928,1146,1.024,20121031,0.9587
20120928,590,17.0321,20121031,13.4485
20120928,1112,18.3282,20121031,17.949
20120928,73,3.6081,20121031,3.9781
20120928,2010,2.0351,20121031,2.3283
20120928,82,0.5838,20121031,0.6346
20120928,6,35.8906,20121031,36.5008
20120928,173,2.7,20121031,2.4805
20121031,746,2.683,20121130,2.8159
20121031,67,59.8873,20121130,60.2687
20121031,3393,1.8598,20121130,2.2709
20121031,1685,2.399,20121130,2.8304
20121031,1157,7.5016,20121130,6.912
20121031,2238,2.9053,20121130,3.5553
