,time_x,newet_stock,newet_index
0,20100129,1.0269496530628186,1.0021372164474898
1,20100226,1.0752011772567018,0.9163015244743832
2,20100331,1.058790548014028,0.9559748081685496
3,20100430,1.0243464116653578,0.9806298141235992
4,20100531,1.0672013961796392,0.9535318166523178
5,20100630,1.1360319999464297,0.8985555680860682
6,20100730,1.1013377668412543,0.9195972020893561
7,20100831,1.2094134517758313,0.9728612019573273
8,20100930,1.2607879702536213,0.9430213144018683
9,20101029,1.2469671366081987,1.0334170432696936
10,20101130,1.2488222404047604,1.0712130422464703
11,20101231,1.2260613171205814,1.0531956932933946
12,20110131,1.1245502455853835,1.0606149792192145
13,20110228,1.202174427066019,1.0751005573633112
14,20110331,1.2144125516130908,1.0689731367204227
15,20110429,1.1988236078891048,1.0848587704266457
16,20110531,1.1539659812564222,1.0908358249187886
17,20110630,1.186413402322999,1.0858806184449756
18,20110729,1.0605926377046238,1.0458355452744228
19,20110831,0.843576106742539,1.042456891216508
20,20110930,1.0015413567330513,0.9530930959015139
21,20111031,0.8800427509567391,0.7875518831985082
22,20111130,0.9302354369939754,0.8921608807788968
23,20111230,1.0954437675434228,0.8725802739781291
24,20120131,1.2576372235620927,0.8605088060469198
25,20120229,1.1082177803342736,0.934959763301674
26,20120330,1.179054359937853,0.9892162714512442
27,20120430,1.0968271155955274,0.9472595310593205
28,20120531,1.1361955073571688,0.9739637342516672
29,20120629,1.1715619799159034,0.8480517956377314
30,20120731,1.1473875821871276,0.9061123840278141
31,20120831,1.2106084109961954,0.9006822405656701
32,20120928,1.2654721381497769,0.8900309992655897
33,20121031,1.3681900465209618,0.9604812083570574
34,20121130,1.4263810158185215,0.9890209788286295
35,20121231,1.5266643229985568,1.0117826548977649
36,20130131,1.4407855443098012,1.0479901821905966
37,20130228,1.404985399755943,1.089390842884793
38,20130328,1.4368406779591727,1.0524296511046871
39,20130430,1.45031819873877,1.0179022821730843
40,20130531,1.3486243908571807,1.0402921687658333
41,20130628,1.3840748309796302,1.022383468525339
42,20130731,1.413818824872323,0.9629191571060385
43,20130830,1.4902941436845583,1.0097339160938543
44,20130930,1.4967434657559247,1.0062026037182616
45,20131031,1.518574934204169,1.0542688858510036
46,20131129,1.4360308675993625,1.0639688778742629
47,20131231,1.3871813612861694,1.0973130302355156
48,20140130,1.4059064822036433,1.075152818769363
49,20140228,1.3905836488698098,0.9884603147970379
50,20140331,1.3801894355071098,1.0374700528390322
51,20140430,1.4179787507441943,1.02195437487565
52,20140530,1.4273759379640956,1.0174773144238731
53,20140630,1.6024680178000128,1.0694109406044536
54,20140731,1.5724876360056494,1.0693660141325845
55,20140829,1.525872126322651,1.1274816145290376
56,20140930,1.539354797840803,1.1325019185437224
57,20141031,1.5948614378152466,1.0402582446952382
58,20141128,1.6087268240656636,1.1063579209495806
59,20141231,1.5860574385640116,1.0854785723650855
60,20150130,1.594801895049835,1.0857366703616398
61,20150227,1.6342669253124427,1.1161601436180113
62,20150331,1.8943101240796218,1.1459349336325986
63,20150430,1.8813758376981269,1.1440296844786375
64,20150529,1.7929426561204131,1.2942152124701216
65,20150630,1.7399955383180565,1.2548724592475642
66,20150731,1.6305100136047552,1.2129886097640812
67,20150831,1.584617751627003,1.1246810449713984
68,20150930,1.6952112603453364,0.9944694596262301
69,20151030,1.671964405538206,0.970638258466577
70,20151130,1.7065339459960323,1.0315796422569226
71,20151231,1.5569558589293135,1.0176217209405953
72,20160129,1.5928639718315822,0.9985880251698267
73,20160229,1.718352992215978,0.9063668145572772
74,20160331,1.7071006855182924,0.8829422438113786
75,20160429,1.6708479174171182,0.9529078888134003
76,20160531,1.7222265675586834,0.9655418545097468
77,20160630,1.7901595333625138,0.9501733336634054
78,20160729,1.8617470300649253,0.961218827675807
79,20160831,1.9065929045692198,1.009821018437274
80,20160930,1.86708286668974,1.0496822598198725
81,20161031,1.8939966537172535,1.0843246955314665
82,20161130,1.823772397083196,1.0550871894457634
83,20161230,1.8942974647241526,1.0520427333265487
84,20170127,1.9651307009716674,1.0082490503552402
85,20170228,1.9921542098051646,1.06411007535728
86,20170331,1.9974543535746396,1.0933278688073673
87,20170428,2.041002349076115,1.1110848275969565
88,20170531,2.0385357617303677,1.13571370284898
89,20170630,2.0906000145249606,1.1798402084588295
90,20170731,2.1498356362908595,1.1761003088924158
91,20170831,2.1483471212978666,1.252716905464618
92,20170929,2.1755952941469894,1.2843112175899059
93,20171031,2.164181374381525,1.2783052817944183
94,20171130,2.17259225527419,1.3013800678664786
95,20171229,2.32875330905348,1.3414361434383055
96,20180131,2.2581796795351186,1.3765970673099406
97,20180228,2.22776207128134,1.5105517612552275
98,20180329,2.207189493776264,1.3971669733586023
99,20180430,2.212809507015719,1.3719939376768981
100,20180531,2.138484241912656,1.411159277178911
101,20180629,2.148404135696865,1.4004580666397108
102,20180731,2.1093183812809904,1.3118988219178838
103,20180831,2.074990162198189,1.3183040531929429
104,20180928,1.9638147809994493,1.2748780337975432
105,20181031,2.0782295897156025,1.2706013087356316
106,20181130,2.040569599341979,1.1565701297641544
107,20181231,2.1519183510822213,1.2462814175860548
108,20190131,2.1885903752077462,1.1838785481598026
109,20190228,2.2584379791953713,1.2924740824684988
110,20190329,2.31148155944161,1.316464818446626
111,20190430,2.1950512967538223,1.3470478265214718
112,20190531,2.273397415049938,1.3589363795314995
113,20190628,2.3076193006757744,1.2336309482877972
114,20190731,2.2192002233569665,1.3250576938416812
115,20190830,2.2232667103380592,1.2644605935245368
116,20190930,2.309012693413736,1.1748652893494007
